,Name of the Company,BSE_Symbol,NSE_Symbol
548,Ion Exchange (India) Ltd,500214,IONEXCHANG
549,Prudent Corporate Advisory Services Ltd,543527,PRUDENT
550,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,500670,GNFC
551,Sandur Manganese & Iron Ores Ltd,504918,SANDUMA
552,HEG Ltd,509631,HEG
553,Sudarshan Chemical Industries Ltd,506655,SUDARSCHEM
554,Mastek Ltd,523704,MASTEK
555,Gabriel India Ltd,505714,GABRIEL
556,GMR Power & Urban Infra Ltd,543490,GMRP%26UI
557,Cera Sanitaryware Ltd,532443,CERA
558,Healthcare Global Enterprises Ltd,539787,HCG
559,Shipping Corporation of India Ltd,523598,SCI
560,Esab India Ltd,500133,ESABINDIA
561,Just Dial Ltd,535648,JUSTDIAL
562,Borosil Renewables Ltd,502219,BORORENEW
563,Chennai Petroleum Corporation Ltd,500110,CHENNPETRO
564,Honasa Consumer Ltd,544014,HONASA
565,Bajaj Electricals Ltd,500031,BAJAJELEC
566,H.G. Infra Engineering Ltd,541019,HGINFRA
567,Sansera Engineering Ltd,543358,SANSERA
568,National Standard (India) Ltd,504882,
569,PC Jeweller Ltd,534809,PCJEWELLER
570,PNC Infratech Ltd,539150,PNCINFRA
571,Gujarat State Fertilizers & Chemicals Ltd,500690,GSFC
572,Aarti Pharmalabs Ltd,543748,AARTIPHARM
573,Voltamp Transformers Ltd,532757,VOLTAMP
574,Orient Cement Ltd,535754,ORIENTCEM
575,Elantas Beck India Ltd,500123,
576,eMudhra Ltd,543533,EMUDHRA
577,Rashtriya Chemicals & Fertilizers Ltd,524230,RCF
578,Dilip Buildcon Ltd,540047,DBL
579,Valor Estate Ltd,533160,DBREALTY
580,Chemplast Sanmar Ltd,543336,CHEMPLASTS
581,Kirloskar Pneumatic Company Ltd,505283,KIRLPNU
582,Tamilnad Mercantile Bank Ltd,543596,TMB
583,Network 18 Media & Investments Ltd,532798,NETWORK18
584,Keystone Realtors Ltd,543669,RUSTOMJEE
585,Gujarat Pipavav Port Ltd,533248,GPPL
586,MOIL Ltd,533286,MOIL
587,Lloyds Engineering Works Ltd,539992,LLOYDSENGG
588,Max Estates Ltd,544008,MAXESTATES
589,Archean Chemical Industries Ltd,543657,ACI
590,FDC Ltd,531599,FDC
591,Varroc Engineering Ltd,541578,VARROC
592,Karnataka Bank Ltd,532652,KTKBANK
593,Dodla Dairy Ltd,543306,DODLA
594,Jindal Worldwide Ltd,531543,JINDWORLD
595,Pearl Global Industries Ltd,532808,PGIL
596,South Indian Bank Ltd,532218,SOUTHBANK
597,IIFL Capital Services Ltd,542773,IIFLCAPS
598,Ethos Ltd,543532,ETHOSLTD
599,NESCO Ltd,505355,NESCO
600,Equitas Small Finance Bank Ltd,543243,EQUITASBNK
601,Hindustan Foods Ltd,519126,HNDFDS
602,Route Mobile Ltd,543228,ROUTE
603,Electrosteel Castings Ltd,500128,ELECTCAST
604,Kesoram Industries Ltd,502937,KESORAMIND
605,Thomas Cook (India) Ltd,500413,THOMASCOOK
606,Shilpa Medicare Ltd,530549,SHILPAMED
607,HMT Ltd,500191,HMT
608,TVS Supply Chain Solutions Ltd,543965,TVSSCS
609,SpiceJet Ltd,500285,SPICEJET
610,Ujjivan Small Finance Bank Ltd,542904,UJJIVANSFB
611,EPL Ltd,500135,EPL
612,KNR Constructions Ltd,532942,KNRCON
613,Welspun Enterprises Ltd,532553,WELENT
614,PDS Ltd,538730,PDSL
615,Mahindra Holidays & Resorts India Ltd,533088,MHRIL
616,Tanla Platforms Ltd,532790,TANLA
617,GHCL Ltd,500171,GHCL
618,Shree Renuka Sugars Ltd,532670,RENUKA
619,KRBL Ltd,530813,KRBL
620,Juniper Hotels Ltd,544129,JUNIPER
621,Piccadily Agro Industries Ltd,530305,
622,Greenlam Industries Ltd,538979,GREENLAM
623,Power Mech Projects Ltd,539302,POWERMECH
624,Black Box Ltd,500463,BBOX
625,Aditya Vision Ltd,540205,AVL
626,Prism Johnson Ltd,500338,PRSMJOHNSN
627,Sterling & Wilson Renewable Energy Ltd,542760,SWSOLAR
628,Rategain Travel Technologies Ltd,543417,RATEGAIN
629,Astra Microwave Products Ltd,532493,ASTRAMICRO
630,Gulf Oil Lubricants India Ltd,538567,GULFOILLUB
631,RattanIndia Enterprises Ltd,534597,RTNINDIA
632,NIIT Learning Systems Ltd,543952,NIITMTS
633,Puravankara Ltd,532891,PURVA
634,Gokaldas Exports Ltd,532630,GOKEX
635,V-Mart Retail Ltd,534976,VMART
636,Man Infraconstruction Ltd,533169,MANINFRA
637,Shoppers Stop Ltd,532638,SHOPERSTOP
638,Kovai Medical Center & Hospital Ltd,523323,KOVAI
639,Strides Pharma Science Ltd,532531,STAR
640,The Anup Engineering Ltd,542460,ANUP
641,Sunteck Realty Ltd,512179,SUNTECK
642,Privi Speciality Chemicals Ltd,530117,PRIVISCL
643,Technocraft Industries (India) Ltd,532804,TIIL
644,Lloyds Enterprises Ltd,512463,LLOYDSENT
645,Manorama Industries Ltd,541974,MANORAMA
646,Texmaco Rail & Engineering Ltd,533326,TEXRAIL
647,V2 Retail Ltd,532867,V2RETAIL
648,Kaveri Seed Company Ltd,532899,KSCL
649,Protean eGov Technologies Ltd,544021,PROTEAN
650,Greaves Cotton Ltd,501455,GREAVESCOT
651,Suprajit Engineering Ltd,532509,SUPRAJIT
652,Dhanuka Agritech Ltd,507717,DHANUKA
653,Indo Count Industries Ltd,521016,ICIL
654,Entero Healthcare Solutions Ltd,544122,ENTERO
655,Responsive Industries Ltd,505509,RESPONIND
656,Surya Roshni Ltd,500336,SURYAROSNI
657,Infibeam Avenues Ltd,539807,INFIBEAM
658,Sky Gold Ltd,541967,SKYGOLD
659,Thangamayil Jewellery Ltd,533158,THANGAMAYL
660,Balu Forge Industries Ltd,531112,BALUFORGE
661,Arvind Fashions Ltd,542484,ARVINDFASN
662,TD Power Systems Ltd,533553,TDPOWERSYS
663,Refex Industries Ltd,532884,REFEX
664,Le Travenues Technology Ltd,544192,IXIGO
665,Ashoka Buildcon Ltd,533271,ASHOKA
666,Fischer Medical Ventures Ltd,524743,
667,Pricol Ltd,540293,PRICOLLTD
668,JK Paper Ltd,532162,JKPAPER
669,ICRA Ltd,532835,ICRA
670,RattanIndia Power Ltd,533122,RTNPOWER
671,Mahindra Lifespace Developers Ltd,532313,MAHLIFE
672,Supriya Lifescience Ltd,543434,SUPRIYA
673,India Tourism Development Corporation Ltd,532189,ITDC
674,Laxmi Organic Industries Ltd,543277,LXCHEM
675,GMM Pfaudler Ltd,505255,GMMPFAUDLR
676,Sharda Cropchem Ltd,538666,SHARDACROP
677,Diamond Power Infrastructure Ltd,522163,DIACABS
678,Electronics Mart India Ltd,543626,EMIL
679,CSB Bank Ltd,542867,CSBBANK
680,Indigo Paints Ltd,543258,INDIGOPNTS
681,Ujaas Energy Ltd,533644,UEL
682,Senco Gold Ltd,543936,SENCO
683,Zaggle Prepaid Ocean Services Ltd,543985,ZAGGLE
684,Rajesh Exports Ltd,531500,RAJESHEXPO
685,Gujarat Ambuja Exports Ltd,524226,GAEL
686,Mishra Dhatu Nigam Ltd,541195,MIDHANI
687,J Kumar Infraprojects Ltd,532940,JKIL
688,Tilaknagar Industries Ltd,507205,TI
689,Kennametal India Ltd,505890,KENNAMET
690,MPS Ltd,532440,MPSLTD
691,Banco Products (India) Ltd,500039,BANCOINDIA
692,Avalon Technologies Ltd,543896,AVALON
693,Skipper Ltd,538562,SKIPPER
694,Orchid Pharma Ltd,524372,ORCHPHARMA
695,Inox Green Energy Services Ltd,543667,INOXGREEN
696,AWFIS Space Solutions Ltd,544181,AWFIS
697,Jana Small Finance Bank Ltd,544118,JSFB
698,Ahluwalia Contracts (India) Ltd,532811,AHLUCONT
699,IFB Industries Ltd,505726,IFBIND
700,LS Industries Ltd,514446,
701,HeidelbergCement India Ltd,500292,HEIDELBERG
702,SIS Ltd,540673,SIS
703,Unichem Laboratories Ltd,506690,UNICHEMLAB
704,MAS Financial Services Ltd,540749,MASFIN
705,Johnson Controls-Hitachi Air Condition. India Ltd,523398,JCHAC
706,Sharda Motor Industries Ltd,535602,SHARDAMOTR
707,AGI Greenpac Ltd,500187,AGI
708,Nirlon Ltd,500307,
709,Neogen Chemicals Ltd,542665,NEOGEN
710,Hikal Ltd,524735,HIKAL
711,PTC India Ltd,532524,PTC
712,Hindustan Construction Company Ltd,500185,HCC
713,VST Industries Ltd,509966,VSTIND
714,Dynamatic Technologies Ltd,505242,DYNAMATECH
715,Orient Electric Ltd,541301,ORIENTELEC
716,V I P Industries Ltd,507880,VIPIND
717,Bharat Rasayan Ltd,590021,BHARATRAS
718,Styrenix Performance Materials Ltd,506222,STYRENIX
719,Rain Industries Ltd,500339,RAIN
720,Balaji Amines Ltd,530999,BALAMINES
721,Shilchar Technologies Ltd,531201,
722,Rallis India Ltd,500355,RALLIS
723,Goldiam International Ltd,526729,GOLDIAM
724,Easy Trip Planners Ltd,543272,EASEMYTRIP
725,Bannari Amman Sugars Ltd,500041,BANARISUG
726,R Systems International Ltd,532735,RSYSTEMS
727,Innova Captab Ltd,544067,INNOVACAP
728,VRL Logistics Ltd,539118,VRLLOG
729,Grauer & Weil (India) Ltd,505710,GRAUWEIL
730,Sunflag Iron & Steel Company Ltd,500404,SUNFLAG
731,Wonderla Holidays Ltd,538268,WONDERLA
732,Share India Securities Ltd,540725,SHAREINDIA
733,Sun Pharma Advanced Research Company Ltd,532872,SPARC
734,MTAR Technologies Ltd,543270,MTARTECH
735,Borosil Ltd,543212,BOROLTD
736,TCPL Packaging Ltd,523301,TCPLPACK
737,National Fertilizer Ltd,523630,NFL
738,Lux Industries Ltd,539542,LUXIND
739,Optiemus Infracom Ltd,530135,OPTIEMUS
740,WPIL Ltd,505872,
741,Go Fashion (India) Ltd,543401,GOCOLORS
742,Jain Irrigation Systems Ltd,500219,JISLJALEQS
743,Sterlite Technologies Ltd,532374,STLTECH
744,Pilani Investment & Industries Corporation Ltd,539883,PILANIINVS
745,Cigniti Technologies Ltd,534758,CIGNITITEC
746,D B Corp Ltd,533151,DBCORP
747,Hawkins Cookers Ltd,508486,
748,Rolex Rings Ltd,543325,ROLEXRINGS
749,Gujarat Alkalies & Chemicals Ltd,530001,GUJALKALI
750,Vaibhav Global Ltd,532156,VAIBHAVGBL
751,Bhagiradha Chemicals & Industries Ltd,531719,BHAGCHEM
752,Dhani Services Ltd,532960,DHANI
753,Sequent Scientific Ltd,512529,SEQUENT
754,L G Balakrishnan & Bros Ltd,500250,LGBBROSLTD
755,Harsha Engineers International Ltd,543600,HARSHA
756,Thyrocare Technologies Ltd,539871,THYROCARE
757,Subros Ltd,517168,SUBROS
758,Fiem Industries Ltd,532768,FIEMIND
759,Kirloskar Industries Ltd,500243,KIRLOSIND
760,Gokul Agro Resources Ltd,539725,GOKULAGRO
761,Epack Durable Ltd,544095,EPACK
762,Pokarna Ltd,532486,POKARNA
763,Rossari Biotech Ltd,543213,ROSSARI
764,Datamatics Global Services Ltd,532528,DATAMATICS
765,Yatharth Hospital & Trauma Care Services Ltd,543950,YATHARTH
766,Patel Engineering Ltd,531120,PATELENG
767,Heritage Foods Ltd,519552,HERITGFOOD
768,Paras Defence and Space Technologies Ltd,543367,PARAS
769,Hemisphere Properties India Ltd,543242,HEMIPROP
770,KDDL Ltd,532054,KDDL
771,RPG Life Sciences Ltd,532983,RPGLIFE
772,Websol Energy System Ltd,517498,WEBELSOLAR
773,Polyplex Corporation Ltd,524051,POLYPLEX
774,India Glycols Ltd,500201,INDIAGLYCO
775,EMS Ltd,543983,EMSLIMITED
776,Ganesha Ecosphere Ltd,514167,GANECOS
777,Lumax Auto Technologies Ltd,532796,LUMAXTECH
778,Kingfa Science & Technology (India) Ltd,524019,KINGFA
779,Greenply Industries Ltd,526797,GREENPLY
780,Apollo Micro Systems Ltd,540879,APOLLO
781,SG Mart Ltd,512329,
782,Pitti Engineering Ltd,513519,PITTIENG
783,TARC Ltd,543249,TARC
784,Imagicaaworld Entertainment Ltd,539056,IMAGICAA
785,CARE Ratings Ltd,534804,CARERATING
786,Gufic BioSciences Ltd,509079,GUFICBIO
787,Gopal Snacks Ltd,544140,GOPAL
788,Swaraj Engines Ltd,500407,SWARAJENG
789,Indian Metals & Ferro Alloys Ltd,533047,IMFA
790,Paisalo Digital Ltd,532900,PAISALO
791,Kitex Garments Ltd,521248,KITEX
792,63 Moons Technologies Ltd,526881,63MOONS
793,Uflex Ltd,500148,UFLEX
794,Aarti Drugs Ltd,524348,AARTIDRUGS
795,TechNVision Ventures Ltd,501421,
796,Samhi Hotels Ltd,543984,SAMHI
797,Dishman Carbogen Amcis Ltd,540701,DCAL
798,Apeejay Surrendra Park Hotels Ltd,544111,PARKHOTELS
799,Shanthi Gears Ltd,522034,SHANTIGEAR
800,Kalyani Steels Ltd,500235,KSL
801,DCB Bank Ltd,532772,DCBBANK
802,Restaurant Brands Asia Ltd,543248,RBA
803,Fedbank Financial Services Ltd,544027,FEDFINA
804,Elitecon International Ltd,539533,
805,Orissa Minerals Development Company Ltd,590086,ORISSAMINE
806,Cyient DLM Ltd,543933,CYIENTDLM
807,Team Lease Services Ltd,539658,TEAMLEASE
808,Magellanic Cloud Ltd,538891,MCLOUD
809,Medi Assist Healthcare Services Ltd,544088,MEDIASSIST
810,Indostar Capital Finance Ltd,541336,INDOSTAR
811,D.P. Abhushan Ltd,544161,DPABHUSHAN
812,Artemis Medicare Services Ltd,542919,ARTEMISMED
813,JTL Industries Ltd,534600,JTLIND
814,Vadilal Industries Ltd,519156,VADILALIND
815,Ashapura Minechem Ltd,527001,ASHAPURMIN
816,AXISCADES Technologies Ltd,532395,AXISCADES
817,MSTC Ltd,542597,MSTCLTD
818,Tanfac Industries Ltd,506854,
819,Advanced Enzyme Technologies Ltd,540025,ADVENZYMES
820,Agro Tech Foods Ltd,500215,ATFL
821,Kiri Industries Ltd,532967,KIRIINDUS
822,Allcargo Logistics Ltd,532749,ALLCARGO
823,Indraprastha Medical Corporation Ltd,532150,INDRAMEDCO
824,Jayaswal Neco Industries Ltd,522285,JAYNECOIND
825,Arvind SmartSpaces Ltd,539301,ARVSMART
826,Ashiana Housing Ltd,523716,ASHIANA
827,Ajmera Realty & Infra India Ltd,513349,AJMERA
828,JTEKT India Ltd,520057,JTEKTINDIA
829,Ramky Infrastructure Ltd,533262,RAMKY
830,TajGVK Hotels & Resorts Ltd,532390,TAJGVK
831,Camlin Fine Sciences Ltd,532834,CAMLINFINE
832,Gateway Distriparks Ltd,543489,GATEWAY
833,Greenpanel Industries Ltd,542857,GREENPANEL
834,Navneet Education Ltd,508989,NAVNETEDUL
835,NOCIL Ltd,500730,NOCIL
836,Prince Pipes & Fittings Ltd,542907,PRINCEPIPE
837,Polo Queen Industrial and Fintech Ltd,540717,
838,Gujarat Themis Biosyn Ltd,506879,GUJTHEM
839,Bharat Bijlee Ltd,503960,BBL
840,Jamna Auto Industries Ltd,520051,JAMNAAUTO
841,Prime Focus Ltd,532748,PFOCUS
842,Kewal Kiran Clothing Ltd,532732,KKCL
843,Jindal Poly Films Ltd,500227,JINDALPOLY
844,Moschip Technologies Ltd,532407,MOSCHIP
845,VST Tillers Tractors Ltd,531266,VSTTILLERS
846,Genesys International Corporation Ltd,506109,GENESYS
847,Siyaram Silk Mills Ltd,503811,SIYSIL
848,Avantel Ltd,532406,AVANTEL
849,Deep Industries Ltd,543288,DEEPINDS
850,Vishnu Chemicals Ltd,516072,VISHNU
851,Venus Pipes & Tubes Ltd,543528,VENUSPIPES
852,Balmer Lawrie & Company Ltd,523319,BALMLAWRIE
853,Stylam Industries Ltd,526951,STYLAMIND
854,Elcid Investments Ltd,503681,
855,Steel Strips Wheels Ltd,513262,SSWL
856,RPSG Ventures Ltd,542333,RPSGVENT
857,Bombay Dyeing & Manufacturing Company Ltd,500020,BOMDYEING
858,Capacite Infraprojects Ltd,540710,CAPACITE
859,West Coast Paper Mills Ltd,500444,WSTCSTPAPR
860,DCX Systems Ltd,543650,DCXINDIA
861,S J S Enterprises Ltd,543387,SJS
862,Mahanagar Telephone Nigam Ltd,500108,MTNL
863,Oriental Hotels Ltd,500314,ORIENTHOT
864,Prakash Industries Ltd,506022,PRAKASH
865,Morepen Laboratories Ltd,500288,MOREPENLAB
866,Monarch Networth Capital Ltd,511551,MONARCH
867,Globus Spirits Ltd,533104,GLOBUSSPR
868,ADF Foods Ltd,519183,ADFFOODS
869,Fineotex Chemical Ltd,533333,FCL
870,Dalmia Bharat Sugar & Industries Ltd,500097,DALMIASUG
871,Nalwa Sons Investments Ltd,532256,NSIL
872,TCI Express Ltd,540212,TCIEXP
873,Savita Oil Technologies Ltd,524667,SOTL
874,Bhansali Engineering Polymers Ltd,500052,BEPL
875,Suven Life Sciences Ltd,530239,SUVEN
876,Maithan Alloys Ltd,590078,MAITHANALL
877,Hubtown Ltd,532799,HUBTOWN
878,Precision Wires India Ltd,523539,PRECWIRE
879,Prataap Snacks Ltd,540724,DIAMONDYD
880,Bajaj Hindusthan Sugar Ltd,500032,BAJAJHIND
881,Gujarat Industries Power Co Ltd,517300,GIPCL
882,XPRO India Ltd,590013,XPROINDIA
883,K.P. Energy Ltd,539686,KPEL
884,Jindal Drilling & Industries Ltd,511034,JINDRILL
885,Stove Kraft Ltd,543260,STOVEKRAFT
886,S H Kelkar & Company Ltd,539450,SHK
887,PSP Projects Ltd,540544,PSPPROJECT
888,Veedol Corporation Ltd,590005,VEEDOL
889,Utkarsh Small Finance Bank Ltd,543942,UTKARSHBNK
890,K C P Ltd,590066,KCP
891,HPL Electric & Power Ltd,540136,HPL
892,BF Utilities Ltd,532430,BFUTILITIE
893,Shivalik Bimetal Controls Ltd,513097,SBCL
894,Indo Tech Transformers Ltd,532717,INDOTECH
895,Hinduja Global Solutions Ltd,532859,HGS
896,Wonder Electricals Ltd,543449,WEL
897,Som Distilleries & Breweries Ltd,507514,SDBL
898,Sasken Technologies Ltd,532663,SASKEN
899,Automotive Axles Ltd,505010,AUTOAXLES
900,Delta Corp Ltd,532848,DELTACORP
901,SEAMEC Ltd,526807,SEAMECLTD
902,Alembic Ltd,506235,ALEMBICLTD
903,Hindustan Oil Exploration Company Ltd,500186,HINDOILEXP
904,DDev Plastiks Industries Ltd,543547,DDEVPLSTIK
905,Hathway Cable & Datacom Ltd,533162,HATHWAY
906,Solara Active Pharma Sciences Ltd,541540,SOLARA
907,Sagar Cements Ltd,502090,SAGCEM
908,Ceinsys Tech Ltd,538734,
909,Nucleus Software Exports Ltd,531209,NUCLEUS
910,Marsons Ltd,517467,
911,Thirumalai Chemicals Ltd,500412,TIRUMALCHM
912,La Opala RG Ltd,526947,LAOPALA
913,Venkys (India) Ltd,523261,VENKEYS
914,Krsnaa Diagnostics Ltd,543328,KRSNAA
915,Nitco Ltd,532722,NITCO
916,Nilkamal Ltd,523385,NILKAMAL
917,Vidhi Specialty Food Ingredients Ltd,531717,VIDHIING
918,Hi-Tech Pipes Ltd,543411,HITECH
919,Pennar Industries Ltd,513228,PENIND
920,Windsor Machines Ltd,522029,WINDMACHIN
921,Flair Writing Industries Ltd,544030,FLAIR
922,Muthoot Microfin Ltd,544055,MUTHOOTMF
923,Sula Vineyards Ltd,543711,SULA
924,Eveready Industries India Ltd,531508,EVEREADY
925,Lumax Industries Ltd,517206,LUMAXIND
926,Indo Thai Securities Ltd,533676,INDOTHAI
927,Raghav Productivity Enhancers Ltd,539837,RPEL
928,Sandhar Technologies Limited,541163,SANDHAR
929,Panama Petrochem Ltd,524820,PANAMAPET
930,Ram Ratna Wires Ltd,522281,RAMRAT
931,SEPC Ltd,532945,SEPC
932,DCW Ltd,500117,DCW
933,Aeroflex Industries Ltd,543972,AEROFLEX
934,Tasty Bite Eatables Ltd,519091,TASTYBITE
935,Sindhu Trade Links Ltd,532029,SINDHUTRAD
936,Foseco India Ltd,500150,FOSECOIND
937,Saksoft Ltd,590051,SAKSOFT
938,EFC (I) Ltd,512008,
939,Bajaj Consumer Care Ltd,533229,BAJAJCON
940,Dollar Industries Ltd,541403,DOLLAR
941,Shipping Corporation of India Land & Assets Ltd,544142,SCILAL
942,Yasho Industries Ltd,541167,YASHO
943,Shalby Ltd,540797,SHALBY
944,Associated Alcohols & Breweries Ltd,507526,ASALCBR
945,Sai Silks (Kalamandir) Ltd,543989,KALAMANDIR
946,Panacea Biotec Ltd,531349,PANACEABIO
947,Jyoti Structures Ltd,513250,JYOTISTRUC
948,Goodluck India Ltd,530655,GOODLUCK
949,Honda India Power Products Ltd,522064,HONDAPOWER
950,Pix Transmission Ltd,500333,PIXTRANS
951,Brightcom Group Ltd,532368,BCG
952,Geojit Financial Services Ltd,532285,GEOJITFSL
953,Indoco Remedies Ltd,532612,INDOCO
954,Welspun Specialty Solutions Ltd,500365,
955,Mayur Uniquoters Ltd,522249,MAYURUNIQ
956,SG Finserve Ltd,539199,
957,Kolte Patil Developers Ltd,532924,KOLTEPATIL
958,Ramco Industries Ltd,532369,RAMCOIND
959,Vishnu Prakash R Punglia Ltd,543974,VPRPL
960,Cantabil Retail India Ltd,533267,CANTABIL
961,TVS Srichakra Ltd,509243,TVSSRICHAK
962,PTC India Financial Services Ltd,533344,PFS
963,GTL Infrastructure Ltd,532775,GTLINFRA
964,Disa India Ltd,500068,
965,Repco Home Finance Ltd,535322,REPCOHOME
966,Bajaj Healthcare Ltd,539872,BAJAJHCARE
967,Ravindra Energy Ltd,504341,RELTD
968,AGI Infra Ltd,539042,AGIIL
969,NRB Bearings Ltd,530367,NRBBEARING
970,Sanghvi Movers Ltd,530073,SANGHVIMOV
971,Dr Agarwals Eye Hospital Ltd,526783,
972,EIH Associated Hotels Ltd,523127,EIHAHOTELS
973,Vimta Labs Ltd,524394,VIMTALABS
974,Novartis India Ltd,500672,NOVARTIND
975,Mangalam Cement Ltd,502157,MANGLMCEM
976,Accelya Solutions India Ltd,532268,ACCELYA
977,Marathon Nextgen Realty Ltd,503101,MARATHON
978,Bajel Projects Ltd,544042,BAJEL
979,IOL Chemicals & Pharmaceuticals Ltd,524164,IOLCP
980,Nitin Spinners Ltd,532698,NITINSPIN
981,Goodyear India Ltd,500168,GOODYEAR
982,Updater Services Ltd,543996,UDS
983,Rajoo Engineers Ltd,522257,
984,S P Apparels Ltd,540048,SPAL
985,Windlas Biotech Ltd,543329,WINDLAS
986,NELCO Ltd,504112,NELCO
987,Exicom Tele-Systems Ltd,544133,EXICOM
988,Rane Holdings Ltd,505800,RANEHOLDIN
989,Premier Explosives Ltd,526247,PREMEXPLN
990,Mahindra Logistics Ltd,540768,MAHLOG
991,Landmark Cars Ltd,543714,LANDMARK
992,Spandana Sphoorty Financial Ltd,542759,SPANDANA
993,Seshasayee Paper & Boards Ltd,502450,SESHAPAPER
994,Amrutanjan Health Care Ltd,590006,AMRUTANJAN
995,Federal-Mogul Goetze (India) Ltd,505744,FMGOETZE
996,Somany Ceramics Ltd,531548,SOMANYCERA
997,Ashika Credit Capital Ltd,543766,
998,Rashi Peripherals Ltd,544119,RPTECH
999,Jai Corp Ltd,512237,JAICORPLTD
1000,Parag Milk Foods Ltd,539889,PARAGMILK
1001,Filatex India Ltd,526227,FILATEX
1002,Motisons Jewellers Ltd,544053,MOTISONS
1003,Veranda Learning Solutions Ltd,543514,VERANDA
1004,Kilburn Engineering Ltd,522101,
1005,M M Forgings Ltd,522241,MMFL
1006,Universal Cables Ltd,504212,UNIVCABLES
1007,Cupid Ltd,530843,CUPID
1008,Meghmani Organics Ltd,543331,MOL
1009,SML ISUZU Ltd,505192,SMLISUZU
1010,Insecticides India Ltd,532851,INSECTICID
1011,Knowledge Marine & Engineering Works Ltd,543273,KMEW
1012,Steelcast Ltd,513517,STEELCAS
1013,Confidence Petroleum India Ltd,526829,CONFIPET
1014,Unitech Ltd,507878,UNITECH
1015,Wendt India Ltd,505412,WENDT
1016,Fino Payments Bank Ltd,543386,FINOPB
1017,Paramount Communications Ltd,530555,PARACABLES
1018,TTK Healthcare Ltd,507747,TTKHLTCARE
1019,Indian Hume Pipe Company Ltd,504741,INDIANHUME
1020,Cropster Agro Ltd,523105,
1021,HLE Glascoat Ltd,522215,HLEGLAS
1022,Igarashi Motors India Ltd,517380,IGARASHI
1023,Timex Group India Ltd,500414,
1024,Man Industries (India) Ltd,513269,MANINDS
1025,Rajratan Global Wire Ltd,517522,RAJRATAN
1026,Mangalore Chemicals & Fertilizers Ltd,530011,MANGCHEFER
1027,NIIT Ltd,500304,NIITLTD
1028,Tinna Rubber & Infrastructure Ltd,530475,
1029,Precision Camshafts Ltd,539636,PRECAM
1030,Tarsons Products Ltd,543399,TARSONS
1031,Summit Securities Ltd,533306,SUMMITSEC
1032,Vardhman Special Steels Ltd,534392,VSSL
1033,Tatva Chintan Pharma Chem Ltd,543321,TATVA
1034,Hindware Home Innovation Ltd,542905,HINDWAREAP
1035,Southern Petrochemicals Industries Corporation Ltd,590030,SPIC
1036,Vindhya Telelinks Ltd,517015,VINDHYATEL
1037,Kalyani Investment Company Ltd,533302,KICL
1038,BF Investment Ltd,533303,BFINVEST
1039,Cosmo First Ltd,508814,COSMOFIRST
1040,SMS Pharmaceuticals Ltd,532815,SMSPHARMA
1041,JNK India Ltd,544167,JNKINDIA
1042,Arihant Superstructures Ltd,506194,ARIHANTSUP
1043,Stanley Lifestyles Ltd,544202,STANLEY
1044,Quick Heal Technologies Ltd,539678,QUICKHEAL
1045,Salzer Electronics Ltd,517059,SALZERELEC
1046,Apcotex Industries Ltd,523694,APCOTEXIND
1047,Sangam (India) Ltd,514234,SANGAMIND
1048,Satin Creditcare Network Ltd,539404,SATIN
1049,Pondy Oxides & Chemicals Ltd,532626,POCL
1050,GE Power India Ltd,532309,GEPIL
1051,Deccan Gold Mines Ltd,512068,
1052,HMA Agro Industries Ltd,543929,HMAAGRO
1053,IKIO Lighting Ltd,543923,IKIO
1054,TCC Concept Ltd,512038,
1055,Himatsingka Seide Ltd,514043,HIMATSEIDE
1056,Dredging Corporation of India Ltd,523618,DREDGECORP
1057,Rama Steel Tubes Ltd,539309,RAMASTEEL
1058,Benares Hotels Ltd,509438,
1059,DEE Development Engineers Ltd,544198,DEEDEV
1060,India Pesticides Ltd,543311,IPL
1061,Jagran Prakashan Ltd,532705,JAGRAN
1062,Ador Welding Ltd,517041,ADORWELD
1063,Fusion Finance Ltd,543652,FUSION
1064,3B Blackbio DX Ltd,532067,
1065,Huhtamaki India Ltd,509820,HUHTAMAKI
1066,Hind Rectifiers Ltd,504036,HIRECT
1067,Rupa & Company Ltd,533552,RUPA
1068,Centum Electronics Ltd,517544,CENTUM
1069,Suraj Estate Developers Ltd,544054,SURAJEST
1070,Ideaforge Technology Ltd,543932,IDEAFORGE
1071,Salasar Techno Engineering Ltd,540642,SALASAR
1072,Mold-Tek Packaging Ltd,533080,MOLDTKPAC
1073,Ugro Capital Ltd,511742,UGROCAP
1074,Antony Waste Handling Cell Ltd,543254,AWHCL
1075,Den Networks Ltd,533137,DEN
1076,Dynamic Cables Ltd,540795,DYCL
1077,Systematix Corporate Services Ltd,526506,
1078,Sigachi Industries Ltd,543389,SIGACHI
1079,Apollo Pipes Ltd,531761,APOLLOPIPE
1080,Jyoti Resins and Adhesives Ltd,514448,
1081,Carysil Ltd,524091,CARYSIL
1082,Syncom Formulations (India) Ltd,524470,SYNCOMF
1083,Platinum Industries Ltd,544134,PLATIND
1084,Vakrangee Ltd,511431,VAKRANGEE
1085,Navkar Corporation Ltd,539332,NAVKARCORP
1086,Andhra Paper Ltd,502330,ANDHRAPAP
1087,PNB Gilts Ltd,532366,PNBGILTS
1088,Orient Green Power Company Ltd,533263,GREENPOWER
1089,Uniparts India Ltd,543689,UNIPARTS
