,Name of the Company,BSE_Symbol,NSE_Symbol
127,Torrent Power Ltd,532779,TORNTPOWER
128,Colgate-Palmolive (India) Ltd,500830,COLPAL
129,PB Fintech Ltd,543390,POLICYBZR
130,Adani Total Gas Ltd,542066,ATGL
131,Patanjali Foods Ltd,500368,PATANJALI
132,Aurobindo Pharma Ltd,524804,AUROPHARMA
133,Godrej Properties Ltd,533150,GODREJPROP
134,Ashok Leyland Ltd,500477,ASHOKLEY
135,Oil India Ltd,533106,OIL
136,NMDC Ltd,526371,NMDC
137,Oberoi Realty Ltd,533273,OBEROIRLTY
138,Berger Paints India Ltd,509480,BERGEPAINT
139,Phoenix Mills Ltd,503100,PHOENIXLTD
140,Vodafone Idea Ltd,532822,IDEA
141,Alkem Laboratories Ltd,539523,ALKEM
142,Hitachi Energy India Ltd,543187,POWERINDIA
143,Indian Railway Catering & Tourism Corporation Ltd,542830,IRCTC
144,Lloyds Metals & Energy Ltd,512455,LLOYDSME
145,Yes Bank Ltd,532648,YESBANK
146,UPL Ltd,512070,UPL
147,JSW Infrastructure Ltd,543994,JSWINFRA
148,Linde India Ltd,523457,LINDEINDIA
149,Coforge Ltd,532541,COFORGE
150,Tube Investments of India Ltd,540762,TIINDIA
151,Prestige Estates Projects Ltd,533274,PRESTIGE
152,Bharat Forge Ltd,500493,BHARATFORG
153,Jindal Stainless Ltd,532508,JSL
154,Schaeffler India Ltd,505790,SCHAEFFLER
155,Sundaram Finance Ltd,590071,SUNDARMFIN
156,L&T Technology Services Ltd,540115,LTTS
157,Coromandel International Ltd,506395,COROMANDEL
158,United Breweries Ltd,532478,UBL
159,Fortis Healthcare Ltd,532843,FORTIS
160,Uno Minda Ltd,532539,UNOMINDA
161,Kalyan Jewellers India Ltd,543278,KALYANKJIL
162,Balkrishna Industries Ltd,502355,BALKRISIND
163,P I Industries Ltd,523642,PIIND
164,FSN E-Commerce Ventures Ltd,543384,NYKAA
165,Steel Authority of India Ltd,500113,SAIL
166,Voltas Ltd,500575,VOLTAS
